Study,Year,Title,Host Organism,Host Classification,Host Habitat,Parasite Organism,Parasite Class,Macro v micro,TheoryEmpiricism,ObservationExperiment,Title Word,DOI,Disease scale
HAWKINS et al,1993,"PARASITOID SPECIES RICHNESS, HOST MORTALITY, AND BIOLOGICAL-CONTROL",Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285495,macro
RIDLEY et al,1993,CLUTCH SIZE AND MATING FREQUENCY IN PARASITIC HYMENOPTERA,Arthropods,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285579,macro
Kraaijeveld et al,1999,Geographic patterns in the evolution of resistance and virulence in Drosophila and its parasitoids,Drosophila,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/303212,macro
Straub et al,2011,Evidence for a Trade-Off between Host-Range Breadth and Host-Use Efficiency in Aphid Parasitoids,Aphid,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Review,NA,Parasit*,10.1086/658177,macro
HAWKINS et al,1992,SPECIES RICHNESS AND POPULATION LIMITATION IN INSECT PARASITOID-HOST SYSTEMS,Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285334,macro
Loope et al,2017,Convergent Reversion to Single Mating in a Wasp Social Parasite,Wasps,Invertebrate,Terrestrial,Wasp social parasite,Social parasite,Macroparasite,Empirical,Observation,Parasit*,10.1086/691405,macro
Hoi et al,2020,Deconstructing the Impact of Malaria Vector Diversity on Disease Risk,Anopheles sp.,Invertebrate,Semiaquatic,Plasmodium falciparum,apicomplexan,Microparasite,Empirical,Observation,Disease,10.1086/710005,macro
Kraus et al,1998,"Parasites, pathogens, and polyandry in social insects",Honey bees,Invertebrate,Terrestrial,Pathogens,generic microparasites,Microparasite,Conceptual,NA,"Pathogen, Parasit*",10.1086/286126,macro
Sherman et al,1998,"Parasites, pathogens, and polyandry in honey bees",Honey bees,Invertebrate,Terrestrial,Pathogens,generic microparasites,Microparasite,Conceptual,NA,"Parasit*, Pathogen",10.1086/286127,macro
KELLER et al,1995,"PARASITES, WORKER POLYMORPHISM, AND QUEEN NUMBER IN SOCIAL INSECTS",Social insects,Invertebrate,Terrestrial,various,mixed,mixed,Empirical,Observation & Experiment,Parasit*,10.1086/285772,macro
Miller et al,2012,Fungal Pathogen Species Richness: Why Do Some Plant Species Have More Pathogens than Others?,490 plant species,Plant,Terrestrial,Fungal parasites,fungi,Microparasite,Empirical,Observation,Pathogen,10.1086/663676,macro
Todd et al,2007,Parasites lost? An overlooked hypothesis for the evolution of alternative reproductive strategies in amphibians,Frogs,Vertebrate,Semiaquatic,Parasites,general,general,Review,NA,Parasit*,10.1086/521958,macro
Langendorf et al,2019,Can Community Structure Causally Determine Dynamics of Constituent Species? A Test Using a Host-Parasite Community,rodents,Vertebrate,Terrestrial,ectoparasites,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/704182,macro
Krasnov et al,2004,Ectoparasitic jacks-of-all-trades: Relationship between abundance and host specificity in fleas (Siphonaptera) parasitic on small mammals,mammals,Vertebrate,Terrestrial,fleas,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/423716,macro
Krasnov et al,2012,Phylogenetic Signal in Module Composition and Species Connectivity in Compartmentalized Host-Parasite Networks,mammals,Vertebrate,Terrestrial,fleas,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/664612,macro
Bordes et al,2009,Home Range and Parasite Diversity in Mammals,Mammals,Vertebrate,Mixed,Helminths,nematode,Macroparasite,Empirical,Observation,Parasit*,10.1086/597227,macro
Arneberg et al,1998,"Parasite abundance, body size, life histories, and the energetic equivalence rule",NA,Vertebrate,NA,NA,nematode,Macroparasite,Empirical,Observation,Parasit*,10.1086/286136,macro
Bell et al,2018,"Sympatric Parasites Have Similar Host-Associated, but Asynchronous, Patterns of Diversification",Rodentia: Sciuridae,Vertebrate,Terrestrial,Nematoda: Oxyurida,nematode,Macroparasite,Empirical,Observation,Parasit*,10.1086/698300,macro
Fallon et al,2005,Host specialization and geographic localization of avian malaria parasites: A regional analysis in the Lesser Antilles,Birds species,Vertebrate,Terrestrial,Haemoproteus/Plasmodium,Alveolates/Alga,Microparasite,Empirical,Observation,Parasit*,10.1086/428430,macro
Svensson-Coelho et al,2014,Reciprocal Specialization in Multihost Malaria Parasite Communities of Birds: A Temperate-Tropical Comparison,Birds,Vertebrate,Terrestrial,Malaria,apicomplexan,Microparasite,Empirical,Observation,Parasit*,10.1086/678126,macro
Pfennig,2000,Effect of predator-prey phylogenetic similarity on the fitness consequences of predation: A trade-off between nutrition and disease?,Spea sp.,Vertebrate,Aquatic,gram-negative bacteria,bacteria,Microparasite,Empirical,Experiment,Disease,10.1086/303329,macro
Waxman et al,2014,Inferring Host Range Dynamics from Comparative Data: The Protozoan Parasites of New World Monkeys,New world monkeys,Vertebrate,Terrestrial,Protozoan,protozoan,Microparasite,Empirical,Observation,Parasit*,10.1086/676589,macro
Nunn et al,2003,Comparative tests of parasite species richness in primates,Primates,Vertebrate,Terrestrial,various,mixed,mixed,Empirical,Observation,Parasit*,10.1086/378721,macro
Nunn et al,2004,Parasites and the evolutionary diversification of primate clades,Primates,Vertebrate,Terrestrial,various,mixed,mixed,Empirical,Observation,Parasit*,10.1086/424608,macro
YAN et al,1995,SELECTION BY PARASITES ON COMPONENTS OF FITNESS IN TRIBOLIUM BEETLES - THE EFFECT OF INTRASPECIFIC COMPETITION,Tribolium beetles,Invertebrate,Terrestrial,Tapeworm,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/285825,within host
Singer et al,2004,Disentangling food quality from resistance against parasitoids: Diet choice by a generalist caterpillar,Wooly bear caterpillars,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/423152,within host
Heimpel et al,1998,Effects of time limitation and egg limitation on lifetime reproductive success of a parasitoid in the field,Insects,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,T/E,Experiment,Parasit*,10.1086/286167,within host
ROSENHEIM et al,1993,SINGLE-SEX BROODS AND THE EVOLUTION OF NONSIBLICIDAL PARASITOID WASPS,Wasps,Invertebrate,Terrestrial,Parasitoid wasps,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285462,within host
Lapchin et al,2002,Host-parasitoid association and diffuse coevolution: When to be a generalist?,Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/341020,within host
Ebert et al,2004,The evolution of virulence when parasites cause host castration and gigantism,Daphnia magna,Invertebrate,Aquatic,Pasteuria ramosa,bacteria,Microparasite,Empirical,Experimental,Parasit*,10.1086/424606,within host
Ferguson et al,2020,Thermal Variability and Plasticity Drive the Outcome of a Host-Pathogen Interaction,Crickets,Invertebrate,Terrestrial,Metarhizium,fungi,Microparasite,Empirical,Experiment,Pathogen,10.1086/707545,within host
Hall et al,2009,Resource Ecology of Virulence in a Planktonic Host-Parasite System: An Explanation Using Dynamic Energy Budgets,Daphnia,Invertebrate,Aquatic,Metschnikowia,fungi,Microparasite,T/E,Experiment,Parasit*,10.1086/600086,within host
Ellner et al,2007,Within-host disease ecology in the sea fan Gorgonia ventalina: Modeling the spatial immunodynamics of a coral-pathogen interaction,Gorgonia ventalina,Invertebrate,Aquatic,Aspergillus sydowii,fungi,Microparasite,Theory,NA,"Disease, Pathogen",10.1086/522841,within host
Zeller et al,2017,The Role of the Environment in the Evolution of Tolerance and Resistance to a Pathogen,Aedes mosquitoes,Invertebrate,Semiaquatic,Vavraia,microsporidian,Microparasite,Empirical,Experiment,Pathogen,10.1086/692759,within host
Fellous et al,2009,Infectious Dose Affects the Outcome of the Within-Host Competition between Parasites,Aedes aegypti,Invertebrate,Semiaquatic,Vavraia culicis/Ascogregarina culicis,mixed,Microparasite,Empirical,Experimental,Parasit*,10.1086/598490,within host
Napflin et al,2018,High Gut Microbiota Diversity Provides Lower Resistance against Infection by an Intestinal Parasite in Bumblebees,Bumblebee,Invertebrate,Terrestrial,Crithidia,protozoan,Microparasite,Empirical,Experiment,Parasit*,10.1086/698013,within host
Tseng et al,2006,Interactions between the parasite's previous and current environment mediate the outcome of parasite infection,Mosquito,Invertebrate,Semiaquatic,Ascogregarine,protozoan,Microparasite,Empirical,Experiment,Parasit*,10.1086/507997,within host
Kennedy et al,2014,Pathogen Growth in Insect Hosts: Inferring the Importance of Different Mechanisms Using Stochastic Models and Response-Time Data,Gypsy moth,Invertebrate,Terrestrial,gypsy moth virus,virus,Microparasite,T/E,Experiment,Pathogen,10.1086/677308,within host
Hechinger et al,2013,"A Metabolic and Body-Size Scaling Framework for Parasite Within-Host Abundance, Biomass, and Energy Flux",NA,General,NA,NA,general,general,T/E,Experiment,Parasit*,10.1086/670820,within host
Agrawal et al,2006,Host-parasite coevolution and selection on sex through the effects of segregation,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/508029,within host
Tate et al,2015,Dynamic Patterns of Parasitism and Immunity across Host Development Influence Optimal Strategies of Resource Allocation,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/682705,within host
Alizon et al,2008,"Acute or Chronic? Within-Host Models with Immune Dynamics, Infection Outcome, and Parasite Evolution",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/592404,within host
Gjini et al,2010,"Critical Interplay between Parasite Differentiation, Host Immunity, and Antigenic Variation in Trypanosome Infections",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/656276,within host
Faeth et al,2003,Mutualistic asexual endophytes in a native grass are usually parasitic,Festuca arizonica,Plant,Terrestrial,Neotyphodium sp,fungi,Microparasite,Empirical,Experimental,Parasit*,10.1086/345937,within host
Koskella et al,2006,Pathogen relatedness affects the prevalence of within-host competition,Silene,Plant,Terrestrial,Microbotryum,fungi,Microparasite,Empirical,Experiment,Pathogen,10.1086/505770,within host
Cronin et al,2014,Why Is Living Fast Dangerous? Disentangling the Roles of Resistance and Tolerance of Disease,Multiple Grass Species,Plant,Terrestrial,Barley/Cereal Yellow Dwarf Virus,virus,Microparasite,Empirical,Experiment,Disease,10.1086/676854,within host
Tschirren et al,2007,Maternal modulation of natal dispersal in a passerine bird: An adaptive strategy to cope with parasitism?,Great tits,Vertebrate,Terrestrial,Unspecified parasites,general,general,Empirical,Experiment,Parasit*,10.1086/509945,within host
Fitzpatrick et al,2014,Parallelism Isn't Perfect: Could Disease and Flooding Drive a Life-History Anomaly in Trinidadian Guppies?,Poecilia reticulata,Vertebrate,Aquatic,NA,general,general,Empirical,Observation,Disease,10.1086/674611,within host
Lemoine et al,2012,On the Equivalence of Host Local Adaptation and Parasite Maladaptation: An Experimental Test,Bird,Vertebrate,Terrestrial,Fleas,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/663699,within host
Clayton et al,1999,Reciprocal natural selection on host-parasite phenotypes,Columba livia,Vertebrate,Terrestrial,Columbicola columbae/Campanulotes bidentatus,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/303237,within host
Stephenson et al,2020,"The Size, Symmetry, and Color Saturation of a Male Guppy's Ornaments Forecast His Resistance to Parasites",Guppies,Vertebrate,Aquatic,Gyrodactylus,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/711033,within host
LOBUE et al,1993,"PHENOTYPIC MANIPULATION BY THE CESTODE PARASITE SCHISTOCEPHALUS-SOLIDUS OF ITS INTERMEDIATE HOST, GASTEROSTEUS-ACULEATUS, THE THREESPINE STICKLEBACK",Threespine stickleback,Vertebrate,Aquatic,Schistocephalus,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285568,within host
Seppala et al,2012,Reciprocal Interaction Matrix Reveals Complex Genetic and Dose-Dependent Specificity among Coinfecting Parasites,Fish,Vertebrate,Aquatic,eye flukes,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/666985,within host
Bize et al,2008,What makes a host profitable? Parasites balance host nutritive resources against immunity,Apus melba,Vertebrate,Terrestrial,Crataerina melbae,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/523943,within host
Krkosek et al,2012,Allee Effects May Slow the Spread of Parasites in a Coastal Marine Ecosystem,Salmon,Vertebrate,Aquatic,sea lice,invertebrate,Macroparasite,T/E,Observation,Parasit*,10.1086/664458,within host
Debes et al,2017,"Quantitative Genetic Variation in, and Environmental Effects on, Pathogen Resistance and Temperature-Dependent Disease Severity in a Wild Trout",Trout,Vertebrate,Aquatic,PKD myxozoan,myxozoan,Macroparasite,Empirical,Observation,"Disease, Pathogen",10.1086/692536,within host
Albery et al,2021,Fitness Costs of Parasites Explain Multiple Life-History Trade-Offs in a Wild Mammal,Cervus elaphus,Vertebrate,Terrestrial,Strongyles,nematode,Macroparasite,Empirical,Observation,Parasit*,10.1086/712633,within host
Videvall et al,2020,Host Transcriptional Responses to High- and Low-Virulent Avian Malaria Parasites,Eurasian siskins,Vertebrate,Terrestrial,Avian malaria,apicomplexan,Microparasite,Empirical,Experiment,Parasit*,10.1086/708530,within host
Pollitt et al,2011,Competition and the Evolution of Reproductive Restraint in Malaria Parasites,Mice,Vertebrate,Terrestrial,Plasmodium chabaudi,apicomplexan,Microparasite,T/E,Experiment,Parasit*,10.1086/658175,within host
Adelman et al,2013,House Finch Populations Differ in Early Inflammatory Signaling and Pathogen Tolerance at the Peak of Mycoplasma gallisepticum Infection,House finch,Vertebrate,Terrestrial,Mycoplasma gallisepticum,bacteria,Microparasite,Empirical,Experiment,Pathogen,10.1086/670024,within host
Moller et al,2003,Seasonal changes in immune response and parasite impact on hosts,Birds,Vertebrate,Terrestrial,NA,proxy,general,Empirical,Experiment,Parasit*,10.1086/367879,within host
Piault et al,2009,Pheomelanin-Based Coloration and the Ability to Cope with Variation in Food Supply and Parasitism,Owls,Vertebrate,Terrestrial,NA,proxy,general,Empirical,Experiment,Parasit*,10.1086/605374,within host
Forde et al,2007,Gene flow reverses an adaptive cline in a coevolving host-parasitoid interaction,Escherichia coli,Bacterium,NA,T7 bacteriophage,virus,Microparasite,Empirical,Experimental,Parasit*,10.1086/516848,"within host, between hosts"
Schrag et al,1996,Host-parasite coexistence: The role of spatial refuges in stabilizing bacteria-phage interactions,E. coli,Bacterium,NA,Phage,virus,Microparasite,Empirical,Experiment,Parasit*,10.1086/285929,"within host, between hosts"
Hall et al,2011,Bacteria-Phage Coevolution and the Emergence of Generalist Pathogens,Pseudomonas,Bacterium,NA,Lytic phage,virus,Microparasite,Empirical,Experiment,Pathogen,10.1086/657441,"within host, between hosts"
van Baalen et al,2006,The costs and benefits of genetic heterogeneity in resistance against parasites in social insects,Social insects,Invertebrate,Terrestrial,generic parasites,general,general,Theory,NA,Parasit*,10.1086/501169,"within host, between hosts"
Gomez-Llano et al,2020,Male-Male Competition Causes Parasite-Mediated Sexual Selection for Local Adaptation,Ischnura elegans,Invertebrate,Semiaquatic,Arrenurus,invertebrate,Macroparasite,Empirical,NA,Parasit*,10.1086/710039,"within host, between hosts"
Scharf et al,2012,Ant Societies Buffer Individual-Level Effects of Parasite Infections,Ant,Invertebrate,Terrestrial,Cestode,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/667894,"within host, between hosts"
Ode et al,1998,Sex allocation and the evolutionary transition between solitary and gregarious parasitoid development,Arthropods,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/286206,"within host, between hosts"
Jokela et al,2009,"The Maintenance of Sex, Clonal Dynamics, and Host-Parasite Coevolution in a Mixed Population of Sexual and Asexual Snails",Snail,Invertebrate,Aquatic,Trematode,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/599080,"within host, between hosts"
JAENIKE et al,1992,MYCOPHAGOUS DROSOPHILA AND THEIR NEMATODE PARASITES,Drosophila,Invertebrate,Terrestrial,Nematode,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/285365,"within host, between hosts"
Webster et al,2004,Do hosts and parasites coevolve? Empirical support from the Schistosoma system,Snail,Invertebrate,Aquatic,Schistosoma,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/424607,"within host, between hosts"
Yanoviak et al,2008,Parasite-induced fruit mimicry in a tropical canopy ant,Ant,Invertebrate,Terrestrial,Nematode,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/528968,"within host, between hosts"
Montovan et al,2015,The Puzzle of Partial Resource Use by a Parasitoid Wasp,Arthropods,Invertebrate,Terrestrial,Parasitoid wasps,invertebrate,Macroparasite,T/E,Observation & Experiment,Parasit*,10.1086/680036,"within host, between hosts"
Murdoch et al,1996,Competitive displacement and biological control in parasitoids: A model,California red scale,Invertebrate,Terrestrial,Parasitoid,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285957,"within host, between hosts"
Wearing et al,2004,The dynamical consequences of developmental variability and demographic stochasticity for host-parasitoid interactions,Insect,Invertebrate,Terrestrial,Parasitoid,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/424040,"within host, between hosts"
Dybdahl et al,2008,Hybrid Fitness in a Locally Adapted Parasite,Potamopyrgus antipodarum,Invertebrate,Aquatic,Microphallus sp.,trematode,Macroparasite,Empirical,Experimental,Parasit*,10.1086/592866,"within host, between hosts"
Koella and Boete,2003,A model for the coevolution of immunity and immune evasion in Vector-Borne diseases with implications for the epidemiology of malaria,Anopheles sp.,Invertebrate,Semiaquatic,Plasmodium sp.,apicomplexan,Microparasite,Theory,NA,Disease,10.1086/374202,"within host, between hosts"
Groner et al,2018,"Rising Temperatures, Molting Phenology, and Epizootic Shell Disease in the American Lobster",Homarus americanus,Invertebrate,Aquatic,Aquamarina,bacteria,Microparasite,Empirical,Observation,Disease,10.1086/699478,"within host, between hosts"
Ryder et al,2014,Disease Epidemiology in Arthropods Is Altered by the Presence of Nonprotective Symbionts,Adalia bipunctata,Invertebrate,Terrestrial,STI - bacterium,bacteria,Microparasite,T/E,Observation,Disease,10.1086/674827,"within host, between hosts"
Morran et al,2014,Experimental Coevolution: Rapid Local Adaptation by Parasites Depends on Host Mating System,Nematode,Invertebrate,NA,Serratia,bacteria,Microparasite,Empirical,Experiment,Parasit*,10.1086/676930,"within host, between hosts"
Clark et al,2021,Pathogen Dynamics across the Diversity of Aging,Daphnia,Invertebrate,Aquatic,Pasteuria,bacteria,Microparasite,T/E,Experiment,Pathogen,10.1086/712380,"within host, between hosts"
Vale et al,2011,"Epidemiological, Evolutionary, and Coevolutionary Implications of Context-Dependent Parasitism",Daphnia,Invertebrate,Aquatic,Pasteuria,bacteria,Microparasite,T/E,Experiment,Parasit*,10.1086/659002,"within host, between hosts"
Ben-Ami et al,2010,Pathogen Dose Infectivity Curves as a Method to Analyze the Distribution of Host Susceptibility: A Quantitative Assessment of Maternal Effects after Food Stress and Pathogen Exposure,Daphnia,Invertebrate,Aquatic,Pasteuria,bacteria,Microparasite,Empirical,Experiment,Pathogen,10.1086/648672,"within host, between hosts"
Searle et al,2016,"Population Density, Not Host Competence, Drives Patterns of Disease in an Invaded Community",Daphnia dentifera,Invertebrate,Aquatic,Metschnikowia bicuspidata,fungi,Microparasite,T/E,Experiment,Disease,10.1086/688402,"within host, between hosts"
Shocket et al,2018,Temperature Drives Epidemics in a Zooplankton-Fungus Disease System: A Trait-Driven Approach Points to Transmission via Host Foraging,Daphnia dentifera,Invertebrate,Aquatic,Metschnikowia bicuspidata,fungi,Microparasite,T/E,Observation/Experiment,Disease,10.1086/696096,"within host, between hosts"
Kirk et al,2019,Predicting the Thermal and Allometric Dependencies of Disease Transmission via the Metabolic Theory of Ecology,Daphnia magna,Invertebrate,Aquatic,Ordospora colligata,microsporidian,Microparasite,T/E,Experiment,Disease,10.1086/702846,"within host, between hosts"
Clay et al,2019,Within-Host Priority Effects Systematically Alter Pathogen Coexistence,Daphnia,Invertebrate,Aquatic,Metschnikowia & Pasteuria,mixed,Microparasite,T/E,Experiment,Pathogen,10.1086/701126,"within host, between hosts"
Auld et al,2014,Predators and Patterns of Within-Host Growth Can Mediate Both Among-Host Competition and Evolution of Transmission Potential of Parasites,Daphnia dentifera,Invertebrate,Aquatic,Metschnikowia bicuspidata/Pasteuria ramosa,mixed,Microparasite,T/E,Observation/Experiment,Parasit*,10.1086/676927,"within host, between hosts"
Sternberg et al,2013,"Patterns of Host-Parasite Adaptation in Three Populations of Monarch Butterflies Infected with a Naturally Occurring Protozoan Disease: Virulence, Resistance, and Tolerance",Danaus plexippus,Invertebrate,Terrestrial,Ophryocystis elektroscirrha,protozoan,Microparasite,Empirical,Experiment,Disease,10.1086/673442,"within host, between hosts"
Boots et al,2011,The Evolution of Resistance to a Parasite Is Determined by Resources,Plodia interpunctella,Invertebrate,Terrestrial,"PiGV, granulosis virus",virus,Microparasite,Empirical,Experiment,Parasit*,10.1086/660833,"within host, between hosts"
Dwyer et al,2005,Should models of disease dynamics in herbivorous insects include the effects of variability in host-plant foliage quality?,Lymantria dispar,Invertebrate,Terrestrial,baculovirus,virus,Microparasite,T/E,Experiment,Disease,10.1086/426603,"within host, between hosts"
Gandon et al,2002,"The evolution of parasite virulence, superinfection, and host resistance",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/339993,"within host, between hosts"
Gandon et al,2002,Coevolution between parasite virulence and host life-history traits,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/341525,"within host, between hosts"
Choisy et al,2010,"Mixed Infections and the Evolution of Virulence: Effects of Resource Competition, Parasite Plasticity, and Impaired Host Immunity",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/651587,"within host, between hosts"
Engelstadter et al,2015,Host-Parasite Coevolutionary Dynamics with Generalized Success/Failure Infection Genetics,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/680476,"within host, between hosts"
Lively,2016,"Coevolutionary Epidemiology: Disease Spread, Local Adaptation, and Sex",NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/684626,"within host, between hosts"
Boots et al,1999,The evolution of costly resistance in host-parasite systems,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/303181,"within host, between hosts"
Restif et al,2004,Concurrent evolution of resistance and tolerance to pathogens,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/423713,"within host, between hosts"
Bonds et al,2006,Host life-history strategy explains pathogen-induced sterility,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/506922,"within host, between hosts"
Alizon et al,2008,Decreased overall virulence in coinfected hosts leads to the persistence of virulent parasites,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/588077,"within host, between hosts"
Lively et al,2010,The Effect of Host Genetic Diversity on Disease Spread,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/652430,"within host, between hosts"
Bolzoni et al,2013,Unexpected Consequences of Culling on the Eradication of Wildlife Diseases: The Role of Virulence Evolution,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/669154,"within host, between hosts"
Ashby et al,2014,Spatial Structure Mitigates Fitness Costs in Host-Parasite Coevolution,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/674826,"within host, between hosts"
Dybdahl et al,2014,Identifying the Molecular Basis of Host-Parasite Coevolution: Merging Models and Mechanisms,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/676591,"within host, between hosts"
Janouskova et al,2020,"Fecundity-Longevity Trade-Off, Vertical Transmission, and Evolution of Virulence in Sterilizing Pathogens",NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/706182,"within host, between hosts"
TAYLOR et al,1993,"AGGREGATION, COMPETITION, AND HOST-PARASITOID DYNAMICS - STABILITY CONDITIONS DONT TELL IT ALL",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285487,"within host, between hosts"
Kawecki et al,1998,Red queen meets Santa Rosalia: Arms races and the evolution of host specialization in organisms with parasitic lifestyles,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/286195,"within host, between hosts"
Lythgoe et al,2002,Effects of acquired immunity and mating strategy on the genetic structure of parasite populations,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/339462,"within host, between hosts"
Restif et al,2003,Shared control of epidemiological traits in a coevolutionary model of host-parasite interactions,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/375171,"within host, between hosts"
Eames et al,2006,Coexistence and specialization of pathogen strains on contact networks,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/505760,"within host, between hosts"
Kwiatkowski et al,2012,Modeling the Ecology of Symbiont-Mediated Protection against Parasites,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/665003,"within host, between hosts"
Poullain et al,2012,Infection Genetics and the Likelihood of Host Shifts in Coevolving Host-Parasite Interactions,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/667889,"within host, between hosts"
Nelson et al,2017,Coevolution between Mutualists and Parasites in Symbiotic Communities May Lead to the Evolution of Lower Virulence,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/694334,"within host, between hosts"
LAFFERTY et al,1992,FORAGING ON PREY THAT ARE MODIFIED BY PARASITES,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285444,"within host, between hosts"
Debarre et al,2012,Evolution of Host Life-History Traits in a Spatially Structured Host-Parasite System,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/663199,"within host, between hosts"
Alizon et al,2008,Transmission-recovery trade-offs to study parasite evolution,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/589892,"within host, between hosts"
Best et al,2010,The Evolution of Host-Parasite Range,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/653002,"within host, between hosts"
Thrall et al,1997,Sexual transmission of disease and host mating systems: Within-season reproductive success,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/286001,"within host, between hosts"
Thrall et al,1998,Allocation to sexual versus nonsexual disease transmission,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/286100,"within host, between hosts"
Best et al,2009,The Implications of Coevolutionary Dynamics to Host-Parasite Interactions,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/598494,"within host, between hosts"
Morrill et al,2016,Aggregation of Infective Stages of Parasites as an Adaptation and Its Implications for the Study of Parasite-Host Interactions,NA,General,NA,Macroparasites,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/684508,"within host, between hosts"
Tellier et al,2009,The Influence of Perenniality and Seed Banks on Polymorphism in Plant-Parasite Interactions,Plant,Plant,Terrestrial,NA,general,general,Theory,NA,Parasit*,10.1086/646603,"within host, between hosts"
Kover et al,1998,Trade-off between virulence and vertical transmission and the maintenance of a virulent plant pathogen,Danthonia,Plant,Terrestrial,Atkinsonella,fungi,Microparasite,Empirical,Experiment,Pathogen,10.1086/286159,"within host, between hosts"
Hood et al,2003,Dynamics of multiple infection and within-host competition by the anther-smut pathogen,Silene,Plant,Terrestrial,Microbotryum,fungi,Microparasite,Empirical,Experiment,Pathogen,10.1086/375539,"within host, between hosts"
Stump et al,2020,Resistance Genes Affect How Pathogens Maintain Plant Abundance and Diversity,Plants,Plant,Terrestrial,Pathogens,generic microparasites,Microparasite,Theory,NA,Pathogen,10.1086/710486,"within host, between hosts"
Korves and Bergelson,2004,A novel cost of R gene resistance in the presence of disease,Arabidopsis thaliana,Plant,Terrestrial,Psuedomonas syringae/Peronospora parasitica,mixed,Microparasite,T/E,Experiment,Disease,10.1086/382552,"within host, between hosts"
